"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Afghanistan","Electricity - total thermal production","2018","Kilowatt-hours, million","199.93",""
"Afghanistan","Electricity production from hard coal","2018","Kilowatt-hours, million","118.93","1"
"Afghanistan","Electricity production from gas oil/ diesel oil","2018","Kilowatt-hours, million","78","1"
"Afghanistan","Electricity production from fuel oil","2018","Kilowatt-hours, million","3","1"
"Algeria","Electricity - total thermal production","2018","Kilowatt-hours, million","75880",""
"Algeria","Electricity production from gas oil/ diesel oil","2018","Kilowatt-hours, million","986","1"
"Algeria","Electricity production from natural gas","2018","Kilowatt-hours, million","74894","1"
"American Samoa","Electricity - total thermal production","2018","Kilowatt-hours, million","163.2","1"
"American Samoa","Electricity production from gas oil/ diesel oil","2018","Kilowatt-hours, million","163.2","1"
"Andorra","Electricity - total thermal production","2018","Kilowatt-hours, million","20.35",""
"Andorra","Electricity production from non-renewable waste","2018","Kilowatt-hours, million","10.25","1"
"Andorra","Electricity production from renewable municipal waste","2018","Kilowatt-hours, million","10.26","1"
"Angola","Electricity - total thermal production","2018","Kilowatt-hours, million","3001",""
"Angola","Electricity production from bagasse","2018","Kilowatt-hours, million","200",""
"Angola","Electricity production from other oil products","2018","Kilowatt-hours, million","2801",""
"Angola","Electricity production from solid biofuels","2018","Kilowatt-hours, million","200",""
"Anguilla","Electricity - total thermal production","2018","Kilowatt-hours, million","86.7",""
"Anguilla","Electricity production from gas oil/ diesel oil","2018","Kilowatt-hours, million","86.7",""
"Antigua and Barbuda","Electricity - total thermal production","2018","Kilowatt-hours, million","348.985",""
"Antigua and Barbuda","Electricity production from gas oil/ diesel oil","2018","Kilowatt-hours, million","239.42","1"
"Antigua and Barbuda","Electricity production from fuel oil","2018","Kilowatt-hours, million","109.565","1"
"Argentina","Electricity - total thermal production","2018","Kilowatt-hours, million","102820",""
"Argentina","Electricity production from bagasse","2018","Kilowatt-hours, million","200","1"
"Argentina","Electricity production from hard coal","2018","Kilowatt-hours, million","2357","1"
"Argentina","Electricity production from gas oil/ diesel oil","2018","Kilowatt-hours, million","4165","1"
"Argentina","Electricity production from liquid biofuels","2018","Kilowatt-hours, million","0",""
"Argentina","Electricity production from manufactured gases","2018","Kilowatt-hours, million","340",""
"Argentina","Electricity production from natural gas","2018","Kilowatt-hours, million","90162","1"
"Argentina","Electricity production from other oil products","2018","Kilowatt-hours, million","240","1"
"Argentina","Electricity production from fuel oil","2018","Kilowatt-hours, million","3398","1"
"Argentina","Electricity production from solid biofuels","2018","Kilowatt-hours, million","2158","1"
"Armenia","Electricity - total thermal production","2018","Kilowatt-hours, million","3375.598",""
"Armenia","Electricity production from natural gas","2018","Kilowatt-hours, million","3375.598",""
"Aruba","Electricity - total thermal production","2018","Kilowatt-hours, million","807.9","1"
"Aruba","Electricity production from other oil products","2018","Kilowatt-hours, million","807.9","1"
"Australia","Electricity - total thermal production","2018","Kilowatt-hours, million","219884",""
"Australia","Electricity production from biogases","2018","Kilowatt-hours, million","1254",""
"Australia","Electricity production from hard coal","2018","Kilowatt-hours, million","71284",""
"Australia","Electricity production from solid coal products","2018","Kilowatt-hours, million","0",""
"Australia","Electricity production from gas oil/ diesel oil","2018","Kilowatt-hours, million","4448",""
"Australia","Electricity production from brown coal","2018","Kilowatt-hours, million","86427",""
"Australia","Electricity production from natural gas","2018","Kilowatt-hours, million","53817",""
"Australia","Electricity production from other oil products","2018","Kilowatt-hours, million","224",""
"Australia","Electricity production from fuel oil","2018","Kilowatt-hours, million","166",""
"Australia","Electricity production from solid biofuels","2018","Kilowatt-hours, million","2264",""
"Austria","Electricity - total thermal production","2018","Kilowatt-hours, million","19900",""
"Austria","Electricity production from biogases","2018","Kilowatt-hours, million","628",""
"Austria","Electricity production from hard coal","2018","Kilowatt-hours, million","1805",""
"Austria","Electricity production from gas oil/ diesel oil","2018","Kilowatt-hours, million","3",""
"Austria","Electricity production from manufactured gases","2018","Kilowatt-hours, million","1815",""
"Austria","Electricity production from natural gas","2018","Kilowatt-hours, million","9918",""
"Austria","Electricity production from non-renewable waste","2018","Kilowatt-hours, million","716",""
"Austria","Electricity production from other oil products","2018","Kilowatt-hours, million","375",""
"Austria","Electricity production from fuel oil","2018","Kilowatt-hours, million","338",""
"Austria","Electricity production from renewable municipal waste","2018","Kilowatt-hours, million","336",""
"Austria","Electricity production from solid biofuels","2018","Kilowatt-hours, million","3966",""
"Azerbaijan","Electricity - total thermal production","2018","Kilowatt-hours, million","23339.2",""
"Azerbaijan","Electricity production from gas oil/ diesel oil","2018","Kilowatt-hours, million","48.9",""
"Azerbaijan","Electricity production from natural gas","2018","Kilowatt-hours, million","23128.1",""
"Azerbaijan","Electricity production from non-renewable waste","2018","Kilowatt-hours, million","81.1",""
"Azerbaijan","Electricity production from renewable municipal waste","2018","Kilowatt-hours, million","81.1",""
"Bahamas","Electricity - total thermal production","2018","Kilowatt-hours, million","2280","1"
"Bahamas","Electricity production from gas oil/ diesel oil","2018","Kilowatt-hours, million","2280",""
"Bahrain","Electricity - total thermal production","2018","Kilowatt-hours, million","29507",""
"Bahrain","Electricity production from natural gas","2018","Kilowatt-hours, million","29507",""
"Bahrain","Electricity production from fuel oil","2018","Kilowatt-hours, million","0",""
"Bangladesh","Electricity - total thermal production","2018","Kilowatt-hours, million","77228.9",""
"Bangladesh","Electricity production from hard coal","2018","Kilowatt-hours, million","1500",""
"Bangladesh","Electricity production from natural gas","2018","Kilowatt-hours, million","59436.7",""
"Bangladesh","Electricity production from other oil products","2018","Kilowatt-hours, million","16292.2",""
"Barbados","Electricity - total thermal production","2018","Kilowatt-hours, million","1011.35",""
"Barbados","Electricity production from bagasse","2018","Kilowatt-hours, million","2.77777777777778","1"
"Barbados","Electricity production from gas oil/ diesel oil","2018","Kilowatt-hours, million","22.2222222222222","1"
"Barbados","Electricity production from natural gas","2018","Kilowatt-hours, million","27.7777777777778","1"
"Barbados","Electricity production from other oil products","2018","Kilowatt-hours, million","0","1"
"Barbados","Electricity production from fuel oil","2018","Kilowatt-hours, million","958.572222222222","1"
"Barbados","Electricity production from solid biofuels","2018","Kilowatt-hours, million","2.77777777777778","1"
"Belarus","Electricity - total thermal production","2018","Kilowatt-hours, million","38386",""
"Belarus","Electricity production from biogases","2018","Kilowatt-hours, million","43",""
"Belarus","Electricity production from natural gas","2018","Kilowatt-hours, million","37890",""
"Belarus","Electricity production from non-renewable waste","2018","Kilowatt-hours, million","32",""
"Belarus","Electricity production from other oil products","2018","Kilowatt-hours, million","93",""
"Belarus","Electricity production from peat","2018","Kilowatt-hours, million","26",""
"Belarus","Electricity production from fuel oil","2018","Kilowatt-hours, million","171",""
"Belarus","Electricity production from solid biofuels","2018","Kilowatt-hours, million","131",""
"Belgium","Electricity - total thermal production","2018","Kilowatt-hours, million","33315",""
"Belgium","Electricity production from biogases","2018","Kilowatt-hours, million","945",""
"Belgium","Electricity production from hard coal","2018","Kilowatt-hours, million","91",""
"Belgium","Electricity production from gas oil/ diesel oil","2018","Kilowatt-hours, million","16",""
"Belgium","Electricity production from liquid biofuels","2018","Kilowatt-hours, million","75",""
"Belgium","Electricity production from manufactured gases","2018","Kilowatt-hours, million","2254",""
"Belgium","Electricity production from natural gas","2018","Kilowatt-hours, million","23982",""
"Belgium","Electricity production from non-renewable waste","2018","Kilowatt-hours, million","1357",""
"Belgium","Electricity production from other oil products","2018","Kilowatt-hours, million","145",""
"Belgium","Electricity production from fuel oil","2018","Kilowatt-hours, million","1",""
"Belgium","Electricity production from renewable municipal waste","2018","Kilowatt-hours, million","968",""
"Belgium","Electricity production from solid biofuels","2018","Kilowatt-hours, million","3484",""
"Belize","Electricity - total thermal production","2018","Kilowatt-hours, million","401.439852777778","1"
"Belize","Electricity production from bagasse","2018","Kilowatt-hours, million","338.13208","1"
"Belize","Electricity production from crude oil, NGLs, other hydrocarbons","2018","Kilowatt-hours, million","7.05518","1"
"Belize","Electricity production from gas oil/ diesel oil","2018","Kilowatt-hours, million","14.11036","1"
"Belize","Electricity production from natural gas","2018","Kilowatt-hours, million","4.04425","1"
"Belize","Electricity production from fuel oil","2018","Kilowatt-hours, million","38.09798","1"
"Belize","Electricity production from solid biofuels","2018","Kilowatt-hours, million","338.13208","1"
"Benin","Electricity - total thermal production","2018","Kilowatt-hours, million","197",""
"Benin","Electricity production from gas oil/ diesel oil","2018","Kilowatt-hours, million","45",""
"Benin","Electricity production from natural gas","2018","Kilowatt-hours, million","63",""
"Benin","Electricity production from fuel oil","2018","Kilowatt-hours, million","89",""
"Bermuda","Electricity - total thermal production","2018","Kilowatt-hours, million","642.4",""
"Bermuda","Electricity production from gas oil/ diesel oil","2018","Kilowatt-hours, million","101.111111111111","1"
"Bermuda","Electricity production from non-renewable waste","2018","Kilowatt-hours, million","6",""
"Bermuda","Electricity production from fuel oil","2018","Kilowatt-hours, million","527.288888888889","1"
"Bermuda","Electricity production from renewable municipal waste","2018","Kilowatt-hours, million","6",""
"Bhutan","Electricity - total thermal production","2018","Kilowatt-hours, million","0.04",""
"Bhutan","Electricity production from gas oil/ diesel oil","2018","Kilowatt-hours, million","0.04",""
"Bolivia (Plur. State of)","Electricity - total thermal production","2018","Kilowatt-hours, million","7084",""
"Bolivia (Plur. State of)","Electricity production from gas oil/ diesel oil","2018","Kilowatt-hours, million","94",""
"Bolivia (Plur. State of)","Electricity production from natural gas","2018","Kilowatt-hours, million","6794",""
"Bolivia (Plur. State of)","Electricity production from solid biofuels","2018","Kilowatt-hours, million","196",""
"Bonaire, St Eustatius, Saba","Electricity - total thermal production","2018","Kilowatt-hours, million","95","1"
"Bonaire, St Eustatius, Saba","Electricity production from fuel oil","2018","Kilowatt-hours, million","95","1"
"Bosnia and Herzegovina","Electricity - total thermal production","2018","Kilowatt-hours, million","12517",""
"Bosnia and Herzegovina","Electricity production from biogases","2018","Kilowatt-hours, million","7",""
"Bosnia and Herzegovina","Electricity production from brown coal","2018","Kilowatt-hours, million","12437",""
"Bosnia and Herzegovina","Electricity production from natural gas","2018","Kilowatt-hours, million","25",""
"Bosnia and Herzegovina","Electricity production from fuel oil","2018","Kilowatt-hours, million","47",""
"Bosnia and Herzegovina","Electricity production from solid biofuels","2018","Kilowatt-hours, million","1",""
"Botswana","Electricity - total thermal production","2018","Kilowatt-hours, million","3099.841",""
"Botswana","Electricity production from hard coal","2018","Kilowatt-hours, million","3092","1"
