"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Algeria","Electricity - total wind production","2018","Kilowatt-hours, million","84","1"
"Argentina","Electricity - total wind production","2018","Kilowatt-hours, million","1413",""
"Armenia","Electricity - total wind production","2018","Kilowatt-hours, million","1.881",""
"Aruba","Electricity - total wind production","2018","Kilowatt-hours, million","174.9","1"
"Australia","Electricity - total wind production","2018","Kilowatt-hours, million","15164",""
"Austria","Electricity - total wind production","2018","Kilowatt-hours, million","6030",""
"Azerbaijan","Electricity - total wind production","2018","Kilowatt-hours, million","82.70002",""
"Bahrain","Electricity - total wind production","2018","Kilowatt-hours, million","1","1"
"Bangladesh","Electricity - total wind production","2018","Kilowatt-hours, million","6",""
"Belarus","Electricity - total wind production","2018","Kilowatt-hours, million","99",""
"Belgium","Electricity - total wind production","2018","Kilowatt-hours, million","7465",""
"Bhutan","Electricity - total wind production","2018","Kilowatt-hours, million","1.13",""
"Bolivia (Plur. State of)","Electricity - total wind production","2018","Kilowatt-hours, million","59",""
"Bonaire, St Eustatius, Saba","Electricity - total wind production","2018","Kilowatt-hours, million","43","1"
"Bosnia and Herzegovina","Electricity - total wind production","2018","Kilowatt-hours, million","103",""
"Brazil","Electricity - total wind production","2018","Kilowatt-hours, million","48475",""
"British Virgin Islands","Electricity - total wind production","2018","Kilowatt-hours, million","0.6","1"
"Bulgaria","Electricity - total wind production","2018","Kilowatt-hours, million","1318",""
"Cabo Verde","Electricity - total wind production","2018","Kilowatt-hours, million","93","1"
"Canada","Electricity - total wind production","2018","Kilowatt-hours, million","33183",""
"Chile","Electricity - total wind production","2018","Kilowatt-hours, million","3588",""
"China","Electricity - total wind production","2018","Kilowatt-hours, million","365971",""
"Colombia","Electricity - total wind production","2018","Kilowatt-hours, million","43",""
"Costa Rica","Electricity - total wind production","2018","Kilowatt-hours, million","1798.875",""
"Croatia","Electricity - total wind production","2018","Kilowatt-hours, million","1335",""
"Cuba","Electricity - total wind production","2018","Kilowatt-hours, million","43.5","1"
"Curaçao","Electricity - total wind production","2018","Kilowatt-hours, million","234",""
"Cyprus","Electricity - total wind production","2018","Kilowatt-hours, million","221.43",""
"Czechia","Electricity - total wind production","2018","Kilowatt-hours, million","609",""
"Denmark","Electricity - total wind production","2018","Kilowatt-hours, million","13899",""
"Dominican Republic","Electricity - total wind production","2018","Kilowatt-hours, million","497.48",""
"Ecuador","Electricity - total wind production","2018","Kilowatt-hours, million","80.26",""
"Egypt","Electricity - total wind production","2018","Kilowatt-hours, million","2234",""
"Eritrea","Electricity - total wind production","2018","Kilowatt-hours, million","2",""
"Estonia","Electricity - total wind production","2018","Kilowatt-hours, million","636",""
"Ethiopia","Electricity - total wind production","2018","Kilowatt-hours, million","533",""
"Faeroe Islands","Electricity - total wind production","2018","Kilowatt-hours, million","63.8",""
"Falkland Is. (Malvinas)","Electricity - total wind production","2018","Kilowatt-hours, million","5.4122",""
"Fiji","Electricity - total wind production","2018","Kilowatt-hours, million","2.558",""
"Finland","Electricity - total wind production","2018","Kilowatt-hours, million","5839",""
"France","Electricity - total wind production","2018","Kilowatt-hours, million","28600",""
"French Polynesia","Electricity - total wind production","2018","Kilowatt-hours, million","0.08",""
"Gambia","Electricity - total wind production","2018","Kilowatt-hours, million","0.1","1"
"Georgia","Electricity - total wind production","2018","Kilowatt-hours, million","84.3",""
"Germany","Electricity - total wind production","2018","Kilowatt-hours, million","109951",""
"Greece","Electricity - total wind production","2018","Kilowatt-hours, million","6300",""
"Guam","Electricity - total wind production","2018","Kilowatt-hours, million","0.5","1"
"Guatemala","Electricity - total wind production","2018","Kilowatt-hours, million","319.5",""
"Guyana","Electricity - total wind production","2018","Kilowatt-hours, million","0.35",""
"Honduras","Electricity - total wind production","2018","Kilowatt-hours, million","929",""
"Hungary","Electricity - total wind production","2018","Kilowatt-hours, million","607",""
"Iceland","Electricity - total wind production","2018","Kilowatt-hours, million","4",""
"India","Electricity - total wind production","2018","Kilowatt-hours, million","64294","1"
"Iran (Islamic Rep. of)","Electricity - total wind production","2018","Kilowatt-hours, million","585",""
"Ireland","Electricity - total wind production","2018","Kilowatt-hours, million","8640",""
"Israel","Electricity - total wind production","2018","Kilowatt-hours, million","183",""
"Italy","Electricity - total wind production","2018","Kilowatt-hours, million","17716",""
"Jamaica","Electricity - total wind production","2018","Kilowatt-hours, million","302",""
"Japan","Electricity - total wind production","2018","Kilowatt-hours, million","7481",""
"Jordan","Electricity - total wind production","2018","Kilowatt-hours, million","707",""
"Kazakhstan","Electricity - total wind production","2018","Kilowatt-hours, million","427",""
"Kenya","Electricity - total wind production","2018","Kilowatt-hours, million","376",""
"Korea, Republic of","Electricity - total wind production","2018","Kilowatt-hours, million","2465",""
"Kosovo","Electricity - total wind production","2018","Kilowatt-hours, million","30",""
"Latvia","Electricity - total wind production","2018","Kilowatt-hours, million","122",""
"Lithuania","Electricity - total wind production","2018","Kilowatt-hours, million","1144",""
"Luxembourg","Electricity - total wind production","2018","Kilowatt-hours, million","255",""
"Maldives","Electricity - total wind production","2018","Kilowatt-hours, million","2",""
"Malta","Electricity - total wind production","2018","Kilowatt-hours, million","0.06",""
"Mauritania","Electricity - total wind production","2018","Kilowatt-hours, million","104",""
"Mauritius","Electricity - total wind production","2018","Kilowatt-hours, million","15.1",""
"Mexico","Electricity - total wind production","2018","Kilowatt-hours, million","12875",""
"Micronesia (Fed. States of)","Electricity - total wind production","2018","Kilowatt-hours, million","1.1","1"
"Montenegro","Electricity - total wind production","2018","Kilowatt-hours, million","141",""
"Morocco","Electricity - total wind production","2018","Kilowatt-hours, million","3841",""
"Namibia","Electricity - total wind production","2018","Kilowatt-hours, million","18.1",""
"Nepal","Electricity - total wind production","2018","Kilowatt-hours, million","14",""
"Netherlands","Electricity - total wind production","2018","Kilowatt-hours, million","10563",""
"New Caledonia","Electricity - total wind production","2018","Kilowatt-hours, million","45",""
"New Zealand","Electricity - total wind production","2018","Kilowatt-hours, million","2068",""
"Nicaragua","Electricity - total wind production","2018","Kilowatt-hours, million","801",""
"North Macedonia","Electricity - total wind production","2018","Kilowatt-hours, million","97.338",""
"Norway","Electricity - total wind production","2018","Kilowatt-hours, million","3876",""
"Other Asia","Electricity - total wind production","2018","Kilowatt-hours, million","1686",""
"Pakistan","Electricity - total wind production","2018","Kilowatt-hours, million","2124",""
"Panama","Electricity - total wind production","2018","Kilowatt-hours, million","587.9",""
"Peru","Electricity - total wind production","2018","Kilowatt-hours, million","1502",""
"Philippines","Electricity - total wind production","2018","Kilowatt-hours, million","1152.9",""
"Poland","Electricity - total wind production","2018","Kilowatt-hours, million","12799",""
"Portugal","Electricity - total wind production","2018","Kilowatt-hours, million","12616",""
"Puerto Rico","Electricity - total wind production","2018","Kilowatt-hours, million","108",""
"Republic of Moldova","Electricity - total wind production","2018","Kilowatt-hours, million","23",""
"Romania","Electricity - total wind production","2018","Kilowatt-hours, million","6322",""
"Russian Federation","Electricity - total wind production","2018","Kilowatt-hours, million","231.883",""
"Samoa","Electricity - total wind production","2018","Kilowatt-hours, million","0.134",""
