"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Afghanistan","Electricity - total hydro production","2018","Kilowatt-hours, million","1065.79",""
"Albania","Electricity - total hydro production","2018","Kilowatt-hours, million","8552.15",""
"Algeria","Electricity - total hydro production","2018","Kilowatt-hours, million","638","1"
"Andorra","Electricity - total hydro production","2018","Kilowatt-hours, million","118.2","1"
"Angola","Electricity - total hydro production","2018","Kilowatt-hours, million","8734",""
"Argentina","Electricity - total hydro production","2018","Kilowatt-hours, million","41430",""
"Armenia","Electricity - total hydro production","2018","Kilowatt-hours, million","2318.175",""
"Australia","Electricity - total hydro production","2018","Kilowatt-hours, million","16021",""
"Austria","Electricity - total hydro production","2018","Kilowatt-hours, million","41216",""
"Azerbaijan","Electricity - total hydro production","2018","Kilowatt-hours, million","1768",""
"Bangladesh","Electricity - total hydro production","2018","Kilowatt-hours, million","1085.8",""
"Belarus","Electricity - total hydro production","2018","Kilowatt-hours, million","324",""
"Belgium","Electricity - total hydro production","2018","Kilowatt-hours, million","1329",""
"Belize","Electricity - total hydro production","2018","Kilowatt-hours, million","249.69555",""
"Bhutan","Electricity - total hydro production","2018","Kilowatt-hours, million","6958.64",""
"Bolivia (Plur. State of)","Electricity - total hydro production","2018","Kilowatt-hours, million","2613",""
"Bosnia and Herzegovina","Electricity - total hydro production","2018","Kilowatt-hours, million","6519",""
"Brazil","Electricity - total hydro production","2018","Kilowatt-hours, million","388971",""
"Bulgaria","Electricity - total hydro production","2018","Kilowatt-hours, million","5423",""
"Burkina Faso","Electricity - total hydro production","2018","Kilowatt-hours, million","91.4",""
"Burundi","Electricity - total hydro production","2018","Kilowatt-hours, million","133.03",""
"Cambodia","Electricity - total hydro production","2018","Kilowatt-hours, million","4737",""
"Cameroon","Electricity - total hydro production","2018","Kilowatt-hours, million","5023",""
"Canada","Electricity - total hydro production","2018","Kilowatt-hours, million","385951",""
"Central African Rep.","Electricity - total hydro production","2018","Kilowatt-hours, million","146",""
"Chile","Electricity - total hydro production","2018","Kilowatt-hours, million","23367",""
"China","Electricity - total hydro production","2018","Kilowatt-hours, million","1231787",""
"Colombia","Electricity - total hydro production","2018","Kilowatt-hours, million","59933",""
"Congo","Electricity - total hydro production","2018","Kilowatt-hours, million","1239",""
"Costa Rica","Electricity - total hydro production","2018","Kilowatt-hours, million","8342.897",""
"Côte d'Ivoire","Electricity - total hydro production","2018","Kilowatt-hours, million","2962",""
"Croatia","Electricity - total hydro production","2018","Kilowatt-hours, million","7785",""
"Cuba","Electricity - total hydro production","2018","Kilowatt-hours, million","145.5",""
"Czechia","Electricity - total hydro production","2018","Kilowatt-hours, million","2679",""
