"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Algeria","Electricity - total solar production","2018","Kilowatt-hours, million","62","1"
"American Samoa","Electricity - total solar production","2018","Kilowatt-hours, million","4.832",""
"Andorra","Electricity - total solar production","2018","Kilowatt-hours, million","0.9","1"
"Angola","Electricity - total solar production","2018","Kilowatt-hours, million","18",""
"Anguilla","Electricity - total solar production","2018","Kilowatt-hours, million","0.3","1"
"Antigua and Barbuda","Electricity - total solar production","2018","Kilowatt-hours, million","13",""
"Argentina","Electricity - total solar production","2018","Kilowatt-hours, million","108",""
"Armenia","Electricity - total solar production","2018","Kilowatt-hours, million","19.463",""
"Australia","Electricity - total solar production","2018","Kilowatt-hours, million","9929",""
"Austria","Electricity - total solar production","2018","Kilowatt-hours, million","1438",""
"Azerbaijan","Electricity - total solar production","2018","Kilowatt-hours, million","39.3",""
"Bahrain","Electricity - total solar production","2018","Kilowatt-hours, million","9","1"
"Bangladesh","Electricity - total solar production","2018","Kilowatt-hours, million","291.3",""
"Barbados","Electricity - total solar production","2018","Kilowatt-hours, million","44.09",""
"Belarus","Electricity - total solar production","2018","Kilowatt-hours, million","118",""
"Belgium","Electricity - total solar production","2018","Kilowatt-hours, million","3902",""
"Benin","Electricity - total solar production","2018","Kilowatt-hours, million","5",""
"Bhutan","Electricity - total solar production","2018","Kilowatt-hours, million","0.662",""
"Bolivia (Plur. State of)","Electricity - total solar production","2018","Kilowatt-hours, million","127",""
"Bonaire, St Eustatius, Saba","Electricity - total solar production","2018","Kilowatt-hours, million","5","1"
"Bosnia and Herzegovina","Electricity - total solar production","2018","Kilowatt-hours, million","21",""
"Botswana","Electricity - total solar production","2018","Kilowatt-hours, million","5",""
"Brazil","Electricity - total solar production","2018","Kilowatt-hours, million","3461",""
"British Virgin Islands","Electricity - total solar production","2018","Kilowatt-hours, million","0.3","1"
"Brunei Darussalam","Electricity - total solar production","2018","Kilowatt-hours, million","2",""
"Bulgaria","Electricity - total solar production","2018","Kilowatt-hours, million","1343",""
"Burkina Faso","Electricity - total solar production","2018","Kilowatt-hours, million","54.1",""
"Burundi","Electricity - total solar production","2018","Kilowatt-hours, million","7.93",""
"Cabo Verde","Electricity - total solar production","2018","Kilowatt-hours, million","10.4","1"
"Cambodia","Electricity - total solar production","2018","Kilowatt-hours, million","16",""
"Cameroon","Electricity - total solar production","2018","Kilowatt-hours, million","19",""
"Canada","Electricity - total solar production","2018","Kilowatt-hours, million","3796",""
"Central African Rep.","Electricity - total solar production","2018","Kilowatt-hours, million","0.43",""
"Chile","Electricity - total solar production","2018","Kilowatt-hours, million","5217",""
"China","Electricity - total solar production","2018","Kilowatt-hours, million","177517",""
"Colombia","Electricity - total solar production","2018","Kilowatt-hours, million","21",""
"Congo","Electricity - total solar production","2018","Kilowatt-hours, million","1",""
"Cook Islands","Electricity - total solar production","2018","Kilowatt-hours, million","10.5",""
"Costa Rica","Electricity - total solar production","2018","Kilowatt-hours, million","55.3383",""
"Croatia","Electricity - total solar production","2018","Kilowatt-hours, million","75",""
"Cuba","Electricity - total solar production","2018","Kilowatt-hours, million","124.3","1"
"Curaçao","Electricity - total solar production","2018","Kilowatt-hours, million","19",""
"Cyprus","Electricity - total solar production","2018","Kilowatt-hours, million","200",""
"Czechia","Electricity - total solar production","2018","Kilowatt-hours, million","2359",""
"Dem. Rep. of the Congo","Electricity - total solar production","2018","Kilowatt-hours, million","26.68",""
"Denmark","Electricity - total solar production","2018","Kilowatt-hours, million","953",""
"Dominican Republic","Electricity - total solar production","2018","Kilowatt-hours, million","230.44",""
"Ecuador","Electricity - total solar production","2018","Kilowatt-hours, million","38.08",""
"Egypt","Electricity - total solar production","2018","Kilowatt-hours, million","537",""
